愛知工業,経営,経営／ 経営情,,前期Ａ,3525-19-0101
,,,,前期Ｍ,3525-19-0102
,,,共,１期,3525-19-0171
,,,,プラＡ,3525-19-0174
,,,,プラＭ,3525-19-0175
,,経営／ スポー,,前期Ａ,3525-19-0301
,,,,前期Ｍ,3525-19-0302
,,,共,１期,3525-19-0371
,,,,プラＡ,3525-19-0374
,,,,プラＭ,3525-19-0375
,情報科学,情報／ コンピ,,前期Ａ,3525-37-0101
,,,,前期Ｍ,3525-37-0102
,,,共,１期,3525-37-0171
,,,,プラＡ,3525-37-0174
,,,,プラＭ,3525-37-0175
,,情報／ メディ,,前期Ａ,3525-37-0205
,,,,前期Ｍ,3525-37-0206
,,,共,プラＡ,3525-37-0271
,,,,プラＭ,3525-37-0272
愛知工業,情報科学,情報／ メディ,共,１期,3525-37-0277
,工,電気／ 電気工,,前期Ａ,3525-46-1101
,,,,前期Ｍ,3525-46-1102
,,,共,１期,3525-46-1171
,,,,プラＡ,3525-46-1174
,,,,プラＭ,3525-46-1175
,,応用／ 応用化,,前期Ａ,3525-46-1302
,,,,前期Ｍ,3525-46-1303
,,,共,プラＡ,3525-46-1371
,,,,プラＭ,3525-46-1372
,,,,１期,3525-46-1373
,,機械／ 機械工,,前期Ａ,3525-46-1401
,,,,前期Ｍ,3525-46-1402
,,,共,１期,3525-46-1471
,,,,プラＡ,3525-46-1474
,,,,プラＭ,3525-46-1475
,,社会／ 土木工,,前期Ａ,3525-46-1601
,,,,前期Ｍ,3525-46-1602
,,,共,プラＡ,3525-46-1671
,,,,プラＭ,3525-46-1672
,,,,１期,3525-46-1673
,,応用／ バイオ,,前期Ａ,3525-46-2101
,,,,前期Ｍ,3525-46-2102
,,,共,１期,3525-46-2171
,,,,プラＡ,3525-46-2174
,,,,プラＭ,3525-46-2175
,,電気／ 電子情,,前期Ａ,3525-46-2201
,,,,前期Ｍ,3525-46-2202
,,,共,１期,3525-46-2271
,,,,プラＡ,3525-46-2274
,,,,プラＭ,3525-46-2275
,,機械／ 機械創,,前期Ａ,3525-46-2301
,,,,前期Ｍ,3525-46-2302
,,,共,１期,3525-46-2371
,,,,プラＡ,3525-46-2374
,,,,プラＭ,3525-46-2375
,,建築／ 建築学,,前期Ａ,3525-46-2501
,,,,前期Ｍ,3525-46-2502
,,,共,１期,3525-46-2571
,,,,プラＡ,3525-46-2574
,,,,プラＭ,3525-46-2575
,,建築／ 住居デ,,前期Ａ,3525-46-2605
,,,,前期Ｍ,3525-46-2606
,,,共,プラＡ,3525-46-2671
,,,,プラＭ,3525-46-2672
,,,,１期,3525-46-2677
,,社会／ 都市デ,,前期Ａ,3525-46-2701
,,,,前期Ｍ,3525-46-2702
,,,共,１期,3525-46-2771
,,,,プラＡ,3525-46-2774
,,,,プラＭ,3525-46-2775
愛知産業,経営,総合経営,,前期,3526-19-0302
,,,共,前期,3526-19-0371
,,,,プラス,3526-19-0373
,造形,建築,,前期,3526-83-0104
,,,共,前期,3526-83-0171
,,,,プラス,3526-83-0175
愛知産業,造形,スマートデザ,,前期,3526-83-0301
,,,共,前期,3526-83-0371
,,,,プラス,3526-83-0372
愛知淑徳,文,国文,,前期２,3527-01-0901
,,,,前期３,3527-01-0902
,,,共,プラス,3527-01-0972
,,,,前期４,3527-01-0974
,,,,前期３,3527-01-0976
,心理,心理,,前期３,3527-04-0101
,,,,前期２,3527-04-0102
,,,共,プラス,3527-04-0172
,,,,前期４,3527-04-0174
,,,,前期３,3527-04-0176
,ビジネス,ビジネス,,前期３,3527-21-0103
,,,,前期２,3527-21-0104
,,,共,前期３,3527-21-0171
,,,,プラス,3527-21-0172
,,,,前期４,3527-21-0173
,福祉貢献,福祉／ 社会福,,前期３,3527-28-0101
,,,,前期２,3527-28-0102
,,,共,プラス,3527-28-0172
,,,,前期４,3527-28-0174
,,,,前期３,3527-28-0176
,,福祉／ 子ども,,前期３,3527-28-0201
,,,,前期２,3527-28-0202
,,,共,プラス,3527-28-0272
,,,,前期４,3527-28-0274
,,,,前期３,3527-28-0276
,教育,教育,,前期３,3527-30-0101
,,,,前期２,3527-30-0102
,,,共,プラス,3527-30-0171
,,,,前期３,3527-30-0172
,,,,前期４,3527-30-0173
,交流文化,交流／ ランゲ,,前期３,3527-33-0202
,,,,前期２,3527-33-0203
,,,共,プラス,3527-33-0271
,,,,前期３,3527-33-0272
,,,,前期４,3527-33-0273
,,交流／ 観光,,前期３,3527-33-0302
,,,,前期２,3527-33-0303
,,,共,プラス,3527-33-0371
,,,,前期３,3527-33-0372
,,,,前期４,3527-33-0373
,グローバ,グローバルコ,,前期３,3527-34-0102
,,,,前期２,3527-34-0103
,,,共,プラス,3527-34-0171
,,,,前期３,3527-34-0172
,,,,前期４,3527-34-0173
,人間情報,人間／ 感性工,,前期３,3527-38-0201
,,,,前期２,3527-38-0202
,,,共,プラス,3527-38-0271
,,,,前期３,3527-38-0272
,,,,前期４,3527-38-0273
,,人間／ データ,,前期３,3527-38-0301
,,,,前期２,3527-38-0302
,,,共,プラス,3527-38-0371
,,,,前期３,3527-38-0372
愛知淑徳,人間情報,人間／ データ,共,前期４,3527-38-0373
,,人間／ 数学情,,前期３,3527-38-0401
,,,,前期２,3527-38-0402
,,,共,プラス,3527-38-0471
,,,,前期３,3527-38-0472
,,,,前期４,3527-38-0473
,建築,建築／ 建築ま,,前期３,3527-47-0101
,,,,前期２,3527-47-0102
,,,共,プラス,3527-47-0171
,,,,前期３,3527-47-0172
,,,,前期４,3527-47-0173
,,建築／ 住居イ,,前期３,3527-47-0201
,,,,前期２,3527-47-0202
,,,共,プラス,3527-47-0271
,,,,前期３,3527-47-0272
,,,,前期４,3527-47-0273
,健康医療,医療／ 言語聴,,前期３,3527-65-0101
,,,,前期２,3527-65-0102
,,,共,プラス,3527-65-0172
,,,,前期４,3527-65-0174
,,,,前期３,3527-65-0176
,,医療／ 視覚科,,前期３,3527-65-0201
,,,,前期２,3527-65-0202
,,,共,プラス,3527-65-0272
,,,,前期４,3527-65-0274
,,,,前期３,3527-65-0276
,,スポ／ スポー,,前期２,3527-65-0502
,,,,前期３,3527-65-0503
,,,共,プラス,3527-65-0571
,,,,前期３,3527-65-0572
,,,,前期４,3527-65-0573
,,スポ／ 救急救,,前期２,3527-65-0602
,,,,前期３,3527-65-0603
,,,共,プラス,3527-65-0671
,,,,前期３,3527-65-0672
,,,,前期４,3527-65-0673
,,医療／ 理学療,,前期３,3527-65-0701
,,,,前期２,3527-65-0702
,,,共,プラス,3527-65-0771
,,,,前期３,3527-65-0772
,,,,前期４,3527-65-0773
,,医療／ 臨床検,,前期３,3527-65-0801
,,,,前期２,3527-65-0802
,,,共,プラス,3527-65-0871
,,,,前期３,3527-65-0872
,,,,前期４,3527-65-0873
,食健康科,健康栄養,,前期３,3527-79-0101
,,,,前期２,3527-79-0102
,,,共,プラス,3527-79-0171
,,,,前期３,3527-79-0172
,,,,前期４,3527-79-0173
,,食創造科学,,前期３,3527-79-0201
,,,,前期２,3527-79-0202
,,,共,プラス,3527-79-0271
,,,,前期３,3527-79-0272
,,,,前期４,3527-79-0273
,創造表現,創造／ 創作表,,前期３,3527-83-0202
愛知淑徳,創造表現,創造／ 創作表,,前期２,3527-83-0203
,,,共,プラス,3527-83-0271
,,,,前期３,3527-83-0272
,,,,前期４,3527-83-0273
,,創造／ メディ,,前期３,3527-83-0302
,,,,前期２,3527-83-0303
,,,共,プラス,3527-83-0371
,,,,前期３,3527-83-0372
,,,,前期４,3527-83-0373
愛知東邦,経営,,,前期Ａ,3557-19-0001
,,,,前期Ｂ,3557-19-0002
,,,共,前期,3557-19-0071
,教育,子ども発達,,前期Ａ,3557-30-0101
,,,,前期Ｂ,3557-30-0102
,,,共,前期,3557-30-0171
,人間健康,人間健康,,前期Ａ,3557-64-0101
,,,,前期Ｂ,3557-64-0102
,,,共,前期,3557-64-0171
愛知文教,人文,人文,,前期２,3551-02-0101
,,,,前期３,3551-02-0104
,,,共,前期,3551-02-0171
,,,,プラ前,3551-02-0176
愛知みずほ,人間科学,心身健康科学,,前期,3528-37-0403
,,,共,前期,3528-37-0471
会津,コン理工,コンピュータ,前,Ａ,2040-47-0311
,,,,Ｂ,2040-47-0312
藍野,医療保健,理学療法,,前期２,3667-64-0201
,,,,前期３,3667-64-0205
,,,共,前期,3667-64-0271
,,作業療法,,前期２,3667-64-0301
,,,,前期３,3667-64-0305
,,,共,前期,3667-64-0371
,,臨床工,,前期２,3667-64-0404
,,,,前期３,3667-64-0405
,,,共,前期,3667-64-0471
,,健康科学,,前期２,3667-64-0501
,,,,前期３,3667-64-0502
,,,共,前期,3667-64-0571
,看護,看護,,前期２,3667-65-0101
,,,,前期３,3667-65-0102
,,,共,前期,3667-65-0171
青森,総合経営,経営,,第Ⅰ期,3041-21-0101
,,,共,前期,3041-21-0171
,ソフトウ,ソフトウェア,,第Ⅰ期,3041-47-0101
,,,共,前期,3041-47-0171
,薬,薬,,第Ⅰ期,3041-61-0101
,,,共,前期,3041-61-0171
青森県立保健,健康科学,看護,前,,2013-64-0110
,,,後,,2013-64-0120
,,理学療法,前,,2013-64-0210
,,,後,,2013-64-0220
,,社会福祉,前,,2013-64-0310
,,,後,,2013-64-0320
,,栄養,前,,2013-64-0410
,,,後,,2013-64-0420
青森公立,経営経済,経営,前,国数,2015-21-0211
,,,,国英,2015-21-0212
青森公立,経営経済,経営,後,,2015-21-0220
,,経済,前,国数,2015-21-0311
,,,,国英,2015-21-0312
,,,後,,2015-21-0320
,,地域みらい,前,国数,2015-21-0411
,,,,国英,2015-21-0412
青森中央学院,経営法,経営法,,第１期,3046-21-0101
,,,共,第１期,3046-21-0174
,看護,看護,,第１期,3046-64-0101
,,,共,第１期,3046-64-0171
青山学院,文,英米文,,個別Ｂ,3231-01-0102
,,,,全学部,3231-01-0103
,,,,個別Ｃ,3231-01-0104
,,,,個別Ｄ,3231-01-0105
,,,共,３科目,3231-01-0171
,,,,個別Ａ,3231-01-0172
,,,,４科目,3231-01-0173
,,史学,,全学部,3231-01-0302
,,,共,３科目,3231-01-0371
,,,,個別,3231-01-0372
,,,,６科目,3231-01-0373
,,日本文,,全学部,3231-01-0403
,,,共,,3231-01-0471
,,,,個別Ａ,3231-01-0472
,,,,個別Ｂ,3231-01-0473
,,フランス文,,全学部,3231-01-0503
,,,共,,3231-01-0571
,,,,個別Ａ,3231-01-0572
,,,,個別Ｂ,3231-01-0573
,,比較芸術,,全学部,3231-01-0701
,,,共,,3231-01-0771
,,,,個別,3231-01-0772
,総合文化,総合文化政策,,全学部,3231-03-0103
,,,共,３科目,3231-03-0171
,,,,個別Ａ,3231-03-0173
,,,,個別Ｂ,3231-03-0174
,,,,４科目,3231-03-0175
,,,,５科目,3231-03-0176
,法,法,,全学部,3231-12-0304
,,,共,５科目,3231-12-0371
,,,,３科目,3231-12-0373
,,,,個別Ａ,3231-12-0375
,,,,個別Ｂ,3231-12-0376
,,ヒューマンラ,,全学部,3231-12-0401
,,,共,３科目,3231-12-0471
,,,,個別Ａ,3231-12-0472
,,,,個別Ｂ,3231-12-0473
,,,,５科目,3231-12-0474
,国際政経,国際経済,,個別Ｂ,3231-13-0201
,,,,全学部,3231-13-0207
,,,共,個別Ａ,3231-13-0271
,,,,４科目,3231-13-0272
,,,,３科目,3231-13-0273
,,,,５科目,3231-13-0274
,,国際政治,,個別Ｂ,3231-13-0303
,,,,全学部,3231-13-0305
,,,共,個別Ａ,3231-13-0371
青山学院,国際政経,国際政治,共,４科目,3231-13-0372
,,,,３科目,3231-13-0373
,,,,５科目,3231-13-0374
,,国際コミュニ,,個別Ｂ,3231-13-0402
,,,,全学部,3231-13-0404
,,,共,３科目,3231-13-0471
,,,,５科目,3231-13-0472
,,,,個別Ａ,3231-13-0473
,経済,経済,,個別Ａ,3231-18-0101
,,,,個別Ｂ,3231-18-0102
,,,,全学部,3231-18-0104
,,,共,,3231-18-0171
,,現代経済デザ,,個別Ａ,3231-18-0201
,,,,個別Ｂ,3231-18-0202
,,,,全学部,3231-18-0203
,,,共,,3231-18-0272
,経営,経営,,全学部,3231-19-0104
,,,共,,3231-19-0171
,,,,個別Ａ,3231-19-0174
,,,,個別Ｂ,3231-19-0175
,,マーケティン,,全学部,3231-19-0204
,,,共,,3231-19-0271
,,,,個別Ａ,3231-19-0274
,,,,個別Ｂ,3231-19-0275
,社会情報,社会情報,,個別Ｃ,3231-27-0101
,,,,個別Ｄ,3231-27-0103
,,,,個別Ｂ,3231-27-0104
,,,,全学Ａ,3231-27-0105
,,,,全学Ｂ,3231-27-0106
,,,共,３科目,3231-27-0171
,,,,個別Ａ,3231-27-0173
,,,,５科目,3231-27-0178
,コミュニ,コミュニティ,,全学部,3231-28-0105
,,,共,３科目,3231-28-0171
,,,,個別,3231-28-0172
,,,,４科目,3231-28-0173
,,,,５科目,3231-28-0174
,教育人間,教育,,全学部,3231-31-0103
,,,共,３科目,3231-31-0171
,,,,個別,3231-31-0172
,,,,５科目,3231-31-0173
,,心理,,全学部,3231-31-0203
,,,共,,3231-31-0271
,,,,個別,3231-31-0272
,地球社会,地球社会共生,,全学部,3231-33-0103
,,,共,,3231-33-0171
,,,,個別,3231-33-0172
,理工,電気電子工,,個別Ａ,3231-47-0400
,,,,個別Ｂ,3231-47-0401
,,,,全学部,3231-47-0402
,,,共,,3231-47-0471
,,機械創造工,,個別Ａ,3231-47-0600
,,,,個別Ｂ,3231-47-0601
,,,,全学部,3231-47-0602
,,,共,,3231-47-0671
,,経営シス工,,個別Ａ,3231-47-0700
,,,,個別Ｂ,3231-47-0701
青山学院,理工,経営シス工,,全学部,3231-47-0702
,,,共,,3231-47-0771
,,情報テクノロ,,個別Ａ,3231-47-0800
,,,,個別Ｂ,3231-47-0801
,,,,全学部,3231-47-0802
,,,共,,3231-47-0871
,,化学・生命科,,個別Ａ,3231-47-0901
,,,,個別Ｂ,3231-47-0902
,,,,全学部,3231-47-0903
,,,共,,3231-47-0971
,,物理科学,,個別Ａ,3231-47-1102
,,,,全学部,3231-47-1103
,,,,個別Ｂ,3231-47-1104
,,,共,,3231-47-1171
,,数理サイエン,,個別Ａ,3231-47-1202
,,,,全学部,3231-47-1203
,,,,個別Ｂ,3231-47-1204
,,,共,,3231-47-1271
秋田,教育文化,学校／ 特別支,前,,1080-31-1010
,,,後,,1080-31-1020
,,学校／ こども,前,,1080-31-1110
,,,後,,1080-31-1120
,,地域文化,前,,1080-31-1210
,,,後,,1080-31-1220
,,学校／ 初等中,前,英語型,1080-31-1312
,,,,一般教,1080-31-1315
,,,,一般音,1080-31-1316
,,,,一般美,1080-31-1317
,,,,一般体,1080-31-1318
,,,,理数型,1080-31-1319
,,,後,英語型,1080-31-1322
,,,,一般小,1080-31-1325
,,,,一般音,1080-31-1326
,,,,一般美,1080-31-1327
,,,,一般体,1080-31-1328
,,,,理数型,1080-31-1329
,国際資源,国際／ 資源政,前,,1080-37-0210
,,,後,,1080-37-0220
,,国際／ 資源地,前,,1080-37-0310
,,,後,,1080-37-0320
,,国際／ 資源開,前,,1080-37-0410
,,,後,,1080-37-0420
,情報デー,情報データ科,前,文系ａ,1080-39-0111
,,,,理系ａ,1080-39-0112
,,,,理系ｂ,1080-39-0113
,,,後,,1080-39-0120
,総合環境,応用化学生物,前,ａ,1080-48-0111
,,,,ｂ,1080-48-0112
,,,後,,1080-48-0120
,,環境数物科学,前,ａ,1080-48-0211
,,,,ｂ,1080-48-0212
,,,後,,1080-48-0220
,,社会シス工,前,ａ,1080-48-0311
,,,,ｂ,1080-48-0312
,,,後,,1080-48-0320
,医,医,前,,1080-55-0110
,,,後,,1080-55-0121
