,,,,個別２,3304-80-0202
,,,,英外部,3304-80-0203
,,,共,前期５,3304-80-0271
,,,,前期４,3304-80-0272
日本女子体育,体育,スポーツ科学,,前期Ａ,3305-64-0601
,,,,前期Ｂ,3305-64-0602
,,,共,前期,3305-64-0671
,,ダンス,,前期Ａ,3305-64-0701
,,,共,前期,3305-64-0771
,,健康スポーツ,,前期Ａ,3305-64-0801
,,,,前期Ｂ,3305-64-0802
,,,共,前期,3305-64-0871
,,子ども運動,,前期Ａ,3305-64-0901
,,,,前期Ｂ,3305-64-0902
,,,共,前期,3305-64-0971
日本赤十字看護,看護,看護,,,3306-64-0100
,,,共,Ⅰ－ Ａ,3306-64-0171
,,,,Ⅰ－ Ｂ,3306-64-0172
,さいたま,看護,,,3306-65-0101
,,,共,Ⅰ－ Ａ,3306-65-0171
,,,,Ⅰ－ Ｂ,3306-65-0172
日本赤十字九州看護,看護,看護,,Ⅰ期,3893-64-0100
,,,共,Ⅰ期,3893-64-0171
日本赤十字東北看護,看護,看護,,,3083-64-0101
,,,共,前期Ａ,3083-64-0171
,,,,前期Ｂ,3083-64-0172
日本赤十字豊田看護,看護,看護,,独自,3560-64-0101
,,,共,前期Ａ,3560-64-0173
,,,,前期Ｂ,3560-64-0174
日本赤十字広島看護,看護,看護,,,3810-64-0100
,,,共,前期,3810-64-0171
日本赤十字北海道看護,看護,看護,,,3020-64-0101
,,,共,前期,3020-64-0171
日本体育,体育,健康,,,3307-64-0105
,,,共,,3307-64-0171
,,体育,,,3307-64-0305
,,,共,,3307-64-0371
,児童スポ,児童／ 児童ス,,,3307-65-0201
,,,共,,3307-65-0271
,,児童／ 幼児教,,,3307-65-0301
日本体育,児童スポ,児童／ 幼児教,共,,3307-65-0371
,保健医療,整復医療,,,3307-66-0101
,,,共,,3307-66-0171
,,救急医療,,,3307-66-0201
,,,共,,3307-66-0271
,スポ文化,武道教育,,,3307-67-0103
,,,共,,3307-67-0171
,,スポーツ国際,,,3307-67-0205
,,,共,,3307-67-0271
,スポマネ,スポーツマネ,,,3307-68-0105
,,,共,,3307-68-0171
,,スポーツライ,,,3307-68-0205
,,,共,,3307-68-0271
日本福祉,経済,経済／ 経済,,前期Ａ,3547-18-0301
,,,,前期Ｂ,3547-18-0302
,,,共,前期５,3547-18-0371
,,,,前期３,3547-18-0372
,,,,前期２,3547-18-0373
,,,,プラス,3547-18-0374
,,,,前期全,3547-18-0375
,,経済／ 経営,,前期Ａ,3547-18-0401
,,,,前期Ｂ,3547-18-0402
,,,共,前期５,3547-18-0471
,,,,前期３,3547-18-0472
,,,,前期２,3547-18-0473
,,,,プラス,3547-18-0474
,,,,前期全,3547-18-0475
,社会福祉,社会／ 総合政,,前期Ａ,3547-26-0801
,,,,前期Ｂ,3547-26-0802
,,,共,前期５,3547-26-0871
,,,,前期３,3547-26-0872
,,,,前期２,3547-26-0873
,,,,前期全,3547-26-0874
,,,,プラス,3547-26-0875
,,社会／ 現代社,,前期Ａ,3547-26-0901
,,,,前期Ｂ,3547-26-0902
,,,共,前期５,3547-26-0971
,,,,前期３,3547-26-0972
,,,,前期２,3547-26-0973
,,,,前期全,3547-26-0974
,,,,プラス,3547-26-0975
,教育心理,心理,,前期Ａ,3547-31-0401
,,,,前期Ｂ,3547-31-0402
,,,共,前期全,3547-31-0471
,,,,前期２,3547-31-0472
,,,,前期３,3547-31-0473
,,,,前期５,3547-31-0474
,,,,プラス,3547-31-0477
,,こども,,前期Ａ,3547-31-0501
,,,,前期Ｂ,3547-31-0502
,,,共,前期５,3547-31-0571
,,,,前期３,3547-31-0572
,,,,前期２,3547-31-0573
,,,,プラス,3547-31-0574
,,,,前期全,3547-31-0575
,,学校教育,,前期Ａ,3547-31-0601
,,,,前期Ｂ,3547-31-0602
日本福祉,教育心理,学校教育,共,前期５,3547-31-0671
,,,,前期３,3547-31-0672
,,,,前期２,3547-31-0673
,,,,プラス,3547-31-0674
,,,,前期全,3547-31-0675
,国際,国際,,前期Ａ,3547-33-0101
,,,,前期Ｂ,3547-33-0102
,,,共,前期５,3547-33-0171
,,,,前期３,3547-33-0172
,,,,前期２,3547-33-0173
,,,,プラス,3547-33-0174
,,,,前期全,3547-33-0175
,工,工／ 情報工学,,前期Ａ,3547-46-0101
,,,,前期Ｂ,3547-46-0102
,,,共,前期５,3547-46-0171
,,,,前期３,3547-46-0172
,,,,前期２,3547-46-0173
,,,,プラス,3547-46-0174
,,,,前期全,3547-46-0175
,,工／ 建築学,,前期Ａ,3547-46-0201
,,,,前期Ｂ,3547-46-0202
,,,共,前期５,3547-46-0271
,,,,前期３,3547-46-0272
,,,,前期２,3547-46-0273
,,,,プラス,3547-46-0274
,,,,前期全,3547-46-0275
,健康科学,リハ／ 理学療,,前期Ａ,3547-64-0101
,,,,前期Ｂ,3547-64-0102
,,,共,前期３,3547-64-0171
,,,,プラス,3547-64-0172
,,,,前期５,3547-64-0173
,,,,前期全,3547-64-0175
,,リハ／ 作業療,,前期Ａ,3547-64-0201
,,,,前期Ｂ,3547-64-0202
,,,共,前期３,3547-64-0271
,,,,プラス,3547-64-0272
,,,,前期５,3547-64-0273
,,,,前期全,3547-64-0275
,看護,看護,,前期Ａ,3547-65-0101
,,,,前期Ｂ,3547-65-0102
,,,共,前期３,3547-65-0171
,,,,前期５,3547-65-0172
,,,,前期全,3547-65-0173
,,,,プラス,3547-65-0176
,スポーツ,スポーツ科学,,前期Ａ,3547-66-0101
,,,,前期Ｂ,3547-66-0102
,,,共,前期２,3547-66-0171
,,,,前期３,3547-66-0172
,,,,前期５,3547-66-0173
,,,,前期全,3547-66-0174
,,,,プラス,3547-66-0177
日本文化,法,,,前期,3308-12-0002
,,,共,第１期,3308-12-0071
日本保健医療,保健医療,看護,,第１回,3174-64-0104
,,,共,第１回,3174-64-0171
,,理学療法,,第１回,3174-64-0204
,,,共,第１回,3174-64-0271
日本薬科,薬,薬,,Ａ２,3169-61-0401
,,,,Ａ３,3169-61-0403
,,,,Ｂ３,3169-61-0404
,,,,Ｂ２,3169-61-0405
,,,共,前期,3169-61-0471
,,,,プラス,3169-61-0472
,,,,中期,3169-61-0474
,薬科学,医療／ お茶の,,Ａ,3169-62-0101
,,,,Ｂ,3169-62-0102
,,,共,前期,3169-62-0171
,,,,中期,3169-62-0172
,,,,プラス,3169-62-0173
,,医療／ さいた,,Ａ,3169-62-0201
,,,,Ｂ,3169-62-0202
,,,共,前期,3169-62-0271
,,,,中期,3169-62-0272
,,,,プラス,3169-62-0273
人間環境,心理,心理,,Ⅰ期Ａ,3556-03-0102
,,,,Ⅰ期Ｂ,3556-03-0103
,,,共,Ⅰ期Ａ,3556-03-0171
,,,,Ⅰ期Ｂ,3556-03-0172
,,犯罪心理,,Ⅰ期Ａ,3556-03-0202
,,,,Ⅰ期Ｂ,3556-03-0203
,,,共,Ⅰ期Ａ,3556-03-0271
,,,,Ⅰ期Ｂ,3556-03-0272
,総合心理,総合心理,,Ⅰ期,3556-04-0102
,,,共,Ⅰ期,3556-04-0175
,,総合犯罪心理,,Ⅰ期,3556-04-0201
,,,共,Ⅰ期,3556-04-0271
,環境科学,フィールド生,,Ⅰ期Ａ,3556-38-0102
,,,,Ⅰ期Ｂ,3556-38-0103
,,,共,Ⅰ期Ａ,3556-38-0171
,,,,Ⅰ期Ｂ,3556-38-0172
,,環境データサ,,Ⅰ期Ａ,3556-38-0202
,,,,Ⅰ期Ｂ,3556-38-0203
,,,共,Ⅰ期Ａ,3556-38-0271
,,,,Ⅰ期Ｂ,3556-38-0272
,総合環境,フィールド自,,Ⅰ期,3556-39-0102
,,,共,Ⅰ期,3556-39-0171
,,環境情報,,Ⅰ期,3556-39-0202
,,,共,Ⅰ期,3556-39-0271
,看護,看護,,Ⅰ期,3556-64-0101
,,,共,Ⅰ期,3556-64-0171
,松山看護,看護,,Ⅰ期,3556-65-0101
,,,共,Ⅰ期,3556-65-0171
人間総合科学,人間科学,健康栄養,,Ａ,3171-37-0101
,,,共,Ａ,3171-37-0171
,,ヘルスフード,,Ａ,3171-37-0201
,,,共,Ａ,3171-37-0271
,,心身健康科学,,Ａ,3171-37-0301
,,,共,Ａ,3171-37-0371
,保健医療,看護,,Ａ,3171-64-0101
,,,共,Ａ,3171-64-0171
,,リハ／ 理学療,,Ａ,3171-64-0201
,,,共,Ａ,3171-64-0271
,,リハ／ 義肢装,,Ａ,3171-64-0301
,,,共,Ａ,3171-64-0371
ノースアジア,総合政策,,,Ａ,3081-13-0001
,,,共,前期,3081-13-0071
,経済,経済,,Ａ,3081-18-0301
,,,共,前期,3081-18-0371
ノートル清心女,文,英語英文,,３教科,3785-01-0102
,,,,２教科,3785-01-0103
,,,共,前期５,3785-01-0174
,,,,前期２,3785-01-0175
,,日本語日本文,,３教科,3785-01-0202
,,,,２教科,3785-01-0203
,,,共,前期５,3785-01-0274
,,,,前期２,3785-01-0275
,,現代社会,,３教科,3785-01-0301
,,,,２教科,3785-01-0302
,,,共,前期５,3785-01-0374
,,,,前期２,3785-01-0375
,国際文化,国際文化,,３教科,3785-33-0101
,,,,２教科,3785-33-0102
,,,共,前期５,3785-33-0171
,,,,前期２,3785-33-0172
,情報デザ,情報デザイン,,３教科,3785-37-0101
,,,,２教科,3785-37-0102
,,,共,前期５,3785-37-0171
,,,,前期２,3785-37-0172
,人間生活,人間生活,,３教科,3785-79-0102
,,,,２教科,3785-79-0103
,,,共,前期５,3785-79-0174
,,,,前期２,3785-79-0175
,,児童,,３教科,3785-79-0202
,,,,２教科,3785-79-0203
,,,共,前期５,3785-79-0274
,,,,前期２,3785-79-0275
,,食品栄養,,３教科,3785-79-0602
,,,,２教科,3785-79-0603
,,,共,前期５,3785-79-0675
,,,,前期２,3785-79-0676
梅花女子,文化表現,国際教養,,Ⅰ期,3652-03-0101
,,,共,Ⅰ期,3652-03-0171
,,日本文化,,Ⅰ期,3652-03-0301
,,,共,Ⅰ期,3652-03-0371
,,情報メディア,,Ⅰ期,3652-03-0401
,,,共,Ⅰ期,3652-03-0471
,,舞台芸術表現,,Ⅰ期,3652-03-0501
,,,共,Ⅰ期,3652-03-0571
,看護保健,看護,,Ⅰ期,3652-64-0101
,,,共,Ⅰ期,3652-64-0171
,,口腔保健,,Ⅰ期,3652-64-0201
,,,共,Ⅰ期,3652-64-0272
,心理こど,こども教育,,Ⅰ期,3652-79-0101
,,,共,Ⅰ期,3652-79-0171
,,心理,,Ⅰ期,3652-79-0201
,,,共,Ⅰ期,3652-79-0271
,食文化,食文化,,Ⅰ期,3652-80-0101
,,,共,Ⅰ期,3652-80-0171
,,管理栄養,,Ⅰ期,3652-80-0201
,,,共,Ⅰ期,3652-80-0271
梅光学院,国際,国際／ 英語コ,,Ａ,3818-33-0101
梅光学院,国際,国際／ 英語コ,共,前期,3818-33-0171
,,国際／ 国際ビ,,Ａ,3818-33-0201
,,,共,前期,3818-33-0271
,,国際／ 東アジ,,Ａ,3818-33-0301
,,,共,前期,3818-33-0371
,,国際／ 国際教,,Ａ,3818-33-0401
,,,共,前期,3818-33-0471
,,国際／ 国際観,,Ａ,3818-33-0501
,,,共,前期,3818-33-0571
,子ども,子ど／ 児童教,,Ａ,3818-79-0201
,,,共,前期,3818-79-0271
,,子ど／ 幼児保,,Ａ,3818-79-0301
,,,共,前期,3818-79-0371
白鴎,法,法律,,１２月,3124-12-0101
,,,,,3124-12-0103
,,,,１月,3124-12-0104
,,,共,単前１,3124-12-0170
,,,,特前１,3124-12-0171
,経営,経営,,１２月,3124-19-0101
,,,,１月,3124-19-0102
,,,,,3124-19-0104
,,,共,単前１,3124-19-0170
,,,,特前１,3124-19-0171
,教育,発達／ 児童教,,１２月,3124-30-0102
,,,,,3124-30-0103
,,,,１月,3124-30-0104
,,,共,単前１,3124-30-0170
,,,,特前１,3124-30-0171
,,発達／ スポー,,１２月,3124-30-0202
,,,,,3124-30-0203
,,,,１月,3124-30-0204
,,,共,単前１,3124-30-0270
,,,,特前１,3124-30-0271
,,発達／ 英語教,,１２月,3124-30-0302
,,,,,3124-30-0303
,,,,１月,3124-30-0304
,,,共,単前１,3124-30-0370
,,,,特前１,3124-30-0371
,,発達／ 心理学,,１２月,3124-30-0402
,,,,,3124-30-0403
,,,,１月,3124-30-0404
,,,共,単前１,3124-30-0470
,,,,特前１,3124-30-0471
函館,商,商,,Ａ,3006-20-0103
,,,共,Ａ,3006-20-0173
羽衣国際,現代社会,放送／ 放送メ,,Ⅰ期２,3661-28-0301
,,,,Ⅰ期小,3661-28-0303
,,,共,前期,3661-28-0371
,,放送／ 映像コ,,Ⅰ期２,3661-28-0401
,,,,Ⅰ期小,3661-28-0403
,,,共,前期,3661-28-0471
,,放送／ 情報シ,,Ⅰ期２,3661-28-0501
,,,,Ⅰ期小,3661-28-0503
,,,共,前期,3661-28-0571
,,現代／ 経済経,,Ⅰ期２,3661-28-0601
,,,,Ⅰ期小,3661-28-0603
,,,共,前期,3661-28-0671
羽衣国際,現代社会,現代／ 国際英,,Ⅰ期２,3661-28-0701
,,,,Ⅰ期小,3661-28-0703
,,,共,前期,3661-28-0771
,,現代／ 観光,,Ⅰ期２,3661-28-0801
,,,,Ⅰ期小,3661-28-0803
,,,共,前期,3661-28-0871
,,現代／ スポー,,Ⅰ期２,3661-28-0901
,,,,Ⅰ期小,3661-28-0903
,,,共,前期,3661-28-0971
,人間生活,人間／ 食クリ,,Ⅰ期２,3661-79-0601
,,,,Ⅰ期小,3661-79-0604
,,,共,前期,3661-79-0671
,,人間／ ファッ,,Ⅰ期２,3661-79-0701
,,,,Ⅰ期小,3661-79-0704
,,,共,前期,3661-79-0771
,,人間／ 住空間,,Ⅰ期２,3661-79-0801
,,,,Ⅰ期小,3661-79-0804
,,,共,前期,3661-79-0871
,,人間／ こども,,Ⅰ期２,3661-79-0901
,,,,Ⅰ期小,3661-79-0904
,,,共,前期,3661-79-0971
,,食物／ 医療栄,,Ⅰ期２,3661-79-1001
,,,,Ⅰ期小,3661-79-1003
,,,共,前期,3661-79-1071
,,食物／ フード,,Ⅰ期２,3661-79-1101
,,,,Ⅰ期小,3661-79-1103
,,,共,前期,3661-79-1171
,,食物／ スポー,,Ⅰ期２,3661-79-1201
,,,,Ⅰ期小,3661-79-1203
,,,共,前期,3661-79-1271
,,食物／ グロー,,Ⅰ期２,3661-79-1301
,,,,Ⅰ期小,3661-79-1303
,,,共,前期,3661-79-1371
八戸学院,地域共創,地域共創,,Ⅰ期,3043-27-0101
,,,共,Ａ,3043-27-0171
,,,,Ｂ,3043-27-0172
,人間健康,人間健康科学,,Ⅰ期,3043-64-0102
,,,共,Ａ,3043-64-0171
,,,,Ｂ,3043-64-0172
,看護,看護,,Ⅰ期,3043-65-0101
,,,共,Ａ,3043-65-0171
,,,,Ｂ,3043-65-0172
八戸工業,感性デザ,感性デザイン,,前期,3044-37-0102
,,,共,前期,3044-37-0171
,,,,中期,3044-37-0172
,工,工,,前期,3044-46-0901
,,,共,前期,3044-46-0971
,,,,中期,3044-46-0972
花園,文,日本文,,Ａ,3605-01-0104
,,,,Ｂ,3605-01-0105
,,,共,前期,3605-01-0172
,,日本史,,Ａ,3605-01-0204
,,,,Ｂ,3605-01-0205
,,,共,前期,3605-01-0272
,,仏教,,Ａ,3605-01-0304
,,,,Ｂ,3605-01-0305
,,,共,前期,3605-01-0372
花園,文,日本／ 書道,,Ａ,3605-01-0402
,社会福祉,社会福祉,,Ａ,3605-26-0104
,,,,Ｂ,3605-26-0105
,,,共,前期,3605-26-0172
,,臨床心理,,Ａ,3605-26-0204
,,,,Ｂ,3605-26-0205
,,,共,前期,3605-26-0272
,教育,初等／ 小学校,,Ａ,3605-30-0101
,,,,Ｂ,3605-30-0102
,,,共,前期,3605-30-0171
,,初等／ 幼児教,,Ａ,3605-30-0201
,,,,Ｂ,3605-30-0202
,,,共,前期,3605-30-0271
浜松医科,医,医,前,,1260-55-0111
,,,,地域枠,1260-55-0112
,,,後,,1260-55-0120
,,看護,前,,1260-55-0210
浜松学院,地域共創,地域経営,,Ａ,3509-27-0101
,,,共,Ａ,3509-27-0171
,,地域子ども教,,Ａ,3509-27-0201
,,,共,Ａ,3509-27-0271
阪南,経済,経済,,前期２,3653-18-0104
,,,,前期３,3653-18-0105
,,,共,前期３,3653-18-0171
,,,,前期２,3653-18-0172
,,,,前３併,3653-18-0173
,,,,前２併,3653-18-0174
,経営,経営,,前期２,3653-19-0101
,,,,前期３,3653-19-0102
,,,共,前期２,3653-19-0171
,,,,前期３,3653-19-0172
,,,,前３併,3653-19-0173
,,,,前２併,3653-19-0174
,国際,国際コミュニ,,前期２,3653-33-0101
,,,,前期３,3653-33-0102
,,,共,前期２,3653-33-0171
,,,,前期３,3653-33-0172
,,,,前３併,3653-33-0173
,,,,前２併,3653-33-0174
,,国際観光,,前期２,3653-33-0201
,,,,前期３,3653-33-0202
,,,共,前期２,3653-33-0271
,,,,前期３,3653-33-0272
,,,,前３併,3653-33-0273
,,,,前２併,3653-33-0274
,総合情報,総合情報,,前期２,3653-38-0101
,,,,前期３,3653-38-0102
,,,共,前期２,3653-38-0171
,,,,前期３,3653-38-0172
,,,,前３併,3653-38-0173
,,,,前２併,3653-38-0174
東大阪,こども,こども,,Ⅰ,3664-79-0100
,,,共,Ⅰ,3664-79-0171
,,国際教養こど,,Ⅰ,3664-79-0201
,,,共,Ⅰ,3664-79-0271
東日本国際,経済経営,経済経営,,Ａ,3101-21-0101
,健康福祉,社会福祉,,Ａ,3101-64-0101
比治山,現代文化,言語文化,,Ａ,3798-03-0401
,,,,Ｂ,3798-03-0402
,,,,Ｃ,3798-03-0403
,,,共,Ａ,3798-03-0471
,,マスコミュニ,,Ａ,3798-03-0601
,,,,Ｂ,3798-03-0602
,,,,Ｃ,3798-03-0603
,,,共,Ａ,3798-03-0671
,,社会臨床心理,,Ａ,3798-03-0701
,,,,Ｂ,3798-03-0702
,,,,Ｃ,3798-03-0703
,,,共,Ａ,3798-03-0771
,,子ども発達教,,Ａ,3798-03-0801
,,,,Ｂ,3798-03-0802
,,,,Ｃ,3798-03-0803
,,,共,Ａ,3798-03-0871
,健康栄養,健康栄養,,Ａ,3798-64-0101
,,,,Ｂ,3798-64-0102
,,,,Ｃ,3798-64-0104
,,,共,Ａ,3798-64-0171
一橋,法,法律,前,,1185-12-0410
,経済,経済,前,,1185-18-0310
,,,後,,1185-18-0320
,商,,前,,1185-20-0010
,社会,社会,前,,1185-25-0410
,ソーシャ,ソーシャルデ,前,,1185-37-0110
,,,後,,1185-37-0120
姫路,教育,こども未来,,Ａ,3722-30-0301
,,,,Ｂ,3722-30-0302
,,,共,Ａ,3722-30-0371
,看護,看護,,Ａ,3722-64-0103
,,,,Ｂ,3722-64-0104
,,,共,Ａ,3722-64-0171
姫路獨協,医療保健,理学療法,,Ａ２,3710-64-0103
,,,,Ａ３,3710-64-0106
,,作業療法,,Ａ２,3710-64-0203
,,,,Ａ３,3710-64-0206
,,言語聴覚療法,,Ａ２,3710-64-0303
,,,,Ａ３,3710-64-0306
,,臨床工,,Ａ２,3710-64-0502
,,,,Ａ３,3710-64-0507
,看護,看護,,Ａ３,3710-65-0101
,,,,Ａ２,3710-65-0104
,人間社会,産業経営学類,,Ａ３,3710-91-0301
,,,,Ａ２,3710-91-0302
"ビューティ＆ ウェルネス専
門職大学",ビューテ,ビューティウ,,,3387-79-0101
,,ビューティサ,,,3387-79-0201
兵庫,現代ビジ,現代ビジネス,,Ⅰ２科,3712-22-0102
,,,,Ⅰ２活,3712-22-0103
,,,,Ⅰ３科,3712-22-0105
,,,,Ⅰ３活,3712-22-0106
,,,,Ⅰ３記,3712-22-0107
,,,,Ⅰ２記,3712-22-0108
,教育,教育,,Ⅰ３科,3712-30-0102
,,,,Ⅰ２科,3712-30-0103
,,,,Ⅰ３活,3712-30-0104
,,,,Ⅰ２活,3712-30-0105
兵庫,教育,教育,,Ⅰ３記,3712-30-0106
,,,,Ⅰ２記,3712-30-0107
,健康科学,栄養,,Ⅰ２科,3712-64-0101
,,,,Ⅰ２活,3712-64-0103
,,,,Ⅰ３科,3712-64-0105
,,,,Ⅰ３活,3712-64-0106
,,,,Ⅰ３記,3712-64-0107
,,,,Ⅰ２記,3712-64-0108
,,健康スポーツ,,Ⅰ２科,3712-64-0201
,,,,Ⅰ２活,3712-64-0203
,,,,Ⅰ３科,3712-64-0205
,,,,Ⅰ３活,3712-64-0206
,,,,Ⅰ３記,3712-64-0207
,,,,Ⅰ２記,3712-64-0208
,生涯福祉,社会福祉,,Ⅰ２科,3712-65-0102
,,,,Ⅰ２活,3712-65-0103
,,,,Ⅰ３科,3712-65-0105
,,,,Ⅰ３活,3712-65-0106
,,,,Ⅰ３記,3712-65-0107
,,,,Ⅰ２記,3712-65-0108
,看護,看護,,Ⅰ２科,3712-66-0102
,,,,Ⅰ２活,3712-66-0103
,,,,Ⅰ３科,3712-66-0105
,,,,Ⅰ３活,3712-66-0106
,,,,Ⅰ３記,3712-66-0107
,,,,Ⅰ２記,3712-66-0108
兵庫医科,医,医,,Ａ一般,3711-55-0100
,,,,Ｂ,3711-55-0101
,,,,Ａ兵庫,3711-55-0102
,薬,医療薬,,前期Ａ,3711-61-0101
,,,,前期Ｂ,3711-61-0102
,,,共,前期,3711-61-0171
,看護,看護,,前期Ａ,3711-64-0101
,,,,前期Ｂ,3711-64-0102
,,,共,前期,3711-64-0171
,リハビリ,理学療法,,前期Ａ,3711-65-0101
,,,,前期Ｂ,3711-65-0102
,,,共,前期,3711-65-0171
,,作業療法,,前期Ａ,3711-65-0201
,,,,前期Ｂ,3711-65-0202
,,,共,前期,3711-65-0271
兵庫教育,学校教育,学校教育,前,,1340-31-0110
,,,後,,1340-31-0120
兵庫県立,国際商経,国際／ 経済学,前,,2199-21-0210
,,,後,,2199-21-0220
,,国際／ グロー,前,,2199-21-0310
,環境人間,環境人間,前,,2199-37-0110
,,,後,,2199-37-0120
,,環境／ 食環境,前,,2199-37-0210
,社会情報,社会情報科学,前,,2199-38-0110
,,,中,,2199-38-0150
,理,生命科学,中,,2199-42-0150
,,物質科学,中,,2199-42-0250
,工,工／ 電気電子,前,,2199-46-0410
,,,後,,2199-46-0420
,,工／ 知能情報,前,,2199-46-0510
,,,後,,2199-46-0520
兵庫県立,工,工／ 機械工学,前,,2199-46-0610
,,,後,,2199-46-0620
,,工／ 材料デザ,前,,2199-46-0710
,,,後,,2199-46-0720
,,工／ 化学,前,,2199-46-0810
,,,後,,2199-46-0820
,看護,看護,前,,2199-64-0110
,,,後,,2199-64-0120
弘前,人文社会,文化創生,前,,1060-27-0110
,,,後,,1060-27-0120
,,社会経営,前,国語,1060-27-0211
,,,,数学,1060-27-0212
,,,後,,1060-27-0220
,教育,養護教諭,前,,1060-30-1510
,,学校／ 特別支,前,,1060-30-4810
,,,後,,1060-30-4820
,,学校／ 小学校,前,,1060-30-4910
,,,後,,1060-30-4920
,,学校／ 国語,前,,1060-30-5010
,,学校／ 社会,前,,1060-30-5110
,,学校／ 数学,前,,1060-30-5210
,,学校／ 理科,前,,1060-30-5310
,,学校／ 家庭,前,,1060-30-5810
,,学校／ 英語,前,,1060-30-5910
,理工,物質創成化,前,,1060-47-0710
,,,後,,1060-47-0720
,,電子情報工,前,,1060-47-0810
,,,後,,1060-47-0820
,,数物科学,前,数学,1060-47-0911
,,,,数理,1060-47-0912
,,,後,数学,1060-47-0921
,,,,理科,1060-47-0922
,,地球環境防災,前,,1060-47-1010
,,,後,,1060-47-1020
,,機械科学,前,,1060-47-1110
,,,後,,1060-47-1120
,,自然エネルギ,前,,1060-47-1210
,,,後,,1060-47-1220
,医,医,前,,1060-55-0111
,,,,定着枠,1060-55-0112
,,保健／ 看護学,前,,1060-55-0310
,,保健／ 放射線,前,,1060-55-0410
,,保健／ 検査技,前,,1060-55-0510
,,保健／ 理学療,前,,1060-55-0610
,,保健／ 作業療,前,,1060-55-0710
,,心理支援科学,前,,1060-55-0810
,農学生命,生物,前,,1060-74-0510
,,,後,,1060-74-0520
,,分子生命科学,前,,1060-74-0610
,,,後,,1060-74-0620
,,食料資源,前,,1060-74-0710
,,,後,,1060-74-0720
,,国際園芸農,前,,1060-74-0810
,,,後,,1060-74-0820
,,地域環境工,前,,1060-74-0910
,,,後,,1060-74-0920
弘前医療福祉,保健,看護,,前期,3047-64-0101
弘前医療福祉,保健,看護,共,Ａ,3047-64-0171
,,医療／ 作業療,,前期,3047-64-0201
,,,共,Ａ,3047-64-0271
,,医療／ 言語聴,,前期,3047-64-0301
,,,共,Ａ,3047-64-0371
弘前学院,文,英語・英米文,,Ⅰ期,3045-01-0100
,,,共,Ａ,3045-01-0172
,,日本語・日本,,Ⅰ期,3045-01-0200
,,,共,Ａ,3045-01-0272
,社会福祉,社会福祉,,Ⅰ期,3045-26-0100
,,,共,Ａ,3045-26-0172
,看護,看護,,Ⅰ期,3045-64-0101
,,,共,Ａ,3045-64-0171
広島,文,人文,前,,1380-01-1610
,,,後,,1380-01-1620
,法,法,前,,1380-12-0110
,法夜,法,前,,1380-17-0110
,経済,経済,前,,1380-18-0110
,,,後,,1380-18-0120
,経済夜,経済,前,,1380-24-0110
,,,後,,1380-24-0120
,教育,学校／ 初等教,前,,1380-30-2010
,,学校／ 特別支,前,,1380-30-2110
,,科学／ 理科教,前,,1380-30-2210
,,,後,,1380-30-2220
,,科学／ 数学教,前,,1380-30-2310
,,科学／ 技術情,前,,1380-30-2410
,,,後,,1380-30-2420
,,科学／ 社会認,前,,1380-30-2510
,,,後,,1380-30-2520
,,言語／ 国語文,前,,1380-30-2610
,,言語／ 英語文,前,,1380-30-2710
,,言語／ 日本語,前,,1380-30-2810
,,生涯／ 健康ス,前,,1380-30-2910
,,,後,,1380-30-2920
,,生涯／ 家政教,前,,1380-30-3010
,,生涯／ 音楽教,前,,1380-30-3110
,,生涯／ 美術教,前,,1380-30-3210
,,,後,,1380-30-3220
,,人間／ 教育学,前,,1380-30-3310
,,,後,,1380-30-3320
,,人間／ 心理学,前,,1380-30-3410
,,,後,,1380-30-3420
,,言語／ 多文化,前,,1380-30-3610
,総合科学,総合科学,前,文科系,1380-37-0111
,,,,理科系,1380-37-0112
,,,後,,1380-37-0120
,,国際共創,前,文科系,1380-37-0211
,,,,理科系,1380-37-0212
,情報科学,情報科学,前,Ａ型,1380-38-0111
,,,,Ｂ型,1380-38-0112
,,,後,,1380-38-0120
,理,化学,前,,1380-42-0110
,,,後,,1380-42-0120
,,数学,前,,1380-42-0210
,,,後,,1380-42-0220
,,生物科学,前,,1380-42-0310
広島,理,地球惑星シス,前,,1380-42-0410
,,,後,,1380-42-0420
,,物理,前,,1380-42-0710
,,,後,,1380-42-0720
,工,建設・環境系,前,,1380-46-0410
,,,後,,1380-46-0420
,,機械・輸送系,前,,1380-46-0510
,,,後,,1380-46-0520
,,電気・シス系,前,,1380-46-0610
,,,後,,1380-46-0620
,,応用・生物系,前,,1380-46-0710
,,,後,,1380-46-0720
,,工学特別,前,,1380-46-0810
,医,医,前,,1380-55-0110
,,保健／ 看護学,前,文科系,1380-55-0311
,,,,理科系,1380-55-0312
,,保健／ 作業療,前,文科系,1380-55-0411
,,,,理科系,1380-55-0412
,,保健／ 理学療,前,文科系,1380-55-0511
,,,,理科系,1380-55-0512
,歯,歯,前,,1380-58-0110
,,,後,,1380-58-0120
,,口腔／ 口腔保,前,,1380-58-0210
,,,後,,1380-58-0220
,,口腔／ 口腔工,前,,1380-58-0310
,,,後,,1380-58-0320
,薬,薬,前,,1380-61-0110
,,薬科学,前,,1380-61-0210
,,,後,,1380-61-0220
,生物生産,生物生産,前,,1380-74-0110
広島経済,経済,経済,,１期３,3799-18-0201
,,,,１期２,3799-18-0202
,,,共,１期,3799-18-0271
